prize,winner,date,gender,description
Richard Lounsbery Award,Alfred G. Gilman,1987-01-01T00:00:00Z,male,$null$
American Association of Immunologists Lifetime Achievement Award,Ellen Vitetta,2007-01-01T00:00:00Z,female,Award
J. Allyn Taylor International Prize in Medicine,Michael E. Greenberg,2008-01-01T00:00:00Z,male,awarded by the Robarts Research Institute to an individual or individuals who have made significant contributions to a field of basic or clinical research in one of the Institute's principal areas of research
Richard Lounsbery Award,Pardis C. Sabeti,2017-01-01T00:00:00Z,female,$null$
American Association of Immunologists Lifetime Achievement Award,Emil R. Unanue,2014-01-01T00:00:00Z,male,Award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Lewis C. Cantley,2011-01-01T00:00:00Z,male,oncology award
Novartis Medal and Prize,Caroline Dean,2019-01-01T00:00:00Z,female,award of the Biochemical Society
Villum Kann Rasmussen Annual Award,Birgitte Ahring,1999-01-01T00:00:00Z,female,Danish research prize for techincal research
Novartis Prize for Basic Immunology,Ralph Steinman,2004-01-01T00:00:00Z,male,prize for immunology research
Max Planck Research Award,Pietro De Camilli,1990-01-01T00:00:00Z,male,science award of the Max Planck Society and the Alexander von Humboldt Foundation
Massry Prize,Lee Hartwell,2000-01-01T00:00:00Z,male,$null$
J. Allyn Taylor International Prize in Medicine,Rudolf Jaenisch,2011-01-01T00:00:00Z,male,awarded by the Robarts Research Institute to an individual or individuals who have made significant contributions to a field of basic or clinical research in one of the Institute's principal areas of research
William Bowie Medal,Walter M. Elsasser,1959-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,Eugene Odum,1987-01-01T00:00:00Z,male,$null$
Duke of Edinburgh Conservation Award,Denzil Miller,2007-01-01T00:00:00Z,male,WWF award
Duke of Edinburgh Conservation Award,"Gathorne Gathorne-Hardy, 5th Earl of Cranbrook",2014-01-01T00:00:00Z,male,WWF award
Stevinpremie,Jack T. Pronk,2019-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Elaine Fuchs,2001-01-01T00:00:00Z,female,$null$
Crafoord Prize in Biosciences,Edward O. Wilson,1990-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,George C. Williams,1999-01-01T00:00:00Z,male,$null$
Max Planck Research Award,Stefan Jentsch,2003-01-01T00:00:00Z,male,science award of the Max Planck Society and the Alexander von Humboldt Foundation
J. Allyn Taylor International Prize in Medicine,Eric Lander,2001-01-01T00:00:00Z,male,awarded by the Robarts Research Institute to an individual or individuals who have made significant contributions to a field of basic or clinical research in one of the Institute's principal areas of research
Crafoord Prize in Biosciences,Robert Trivers,2007-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,Ilkka Hanski,2011-01-01T00:00:00Z,male,$null$
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Elaine Fuchs,2013-01-01T00:00:00Z,female,oncology award
Richard Lounsbery Award,Tom Maniatis,1985-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Pascale Cossart,1998-01-01T00:00:00Z,female,$null$
The Louis and Artur Lucian Award in Cardiovascular Diseases,Eric N. Olson,2003-01-01T00:00:00Z,male,prize for medicine
Finsen Medal,Raymond Latarjet,1972-01-01T00:00:00Z,male,photobiology award
Novartis Medal and Prize,Laurence Pearl,2018-01-01T00:00:00Z,male,award of the Biochemical Society
Massry Prize,Craig Mello,2005-01-01T00:00:00Z,male,$null$
Millennium Technology Prize,Shinya Yamanaka,2012-01-01T00:00:00Z,male,the largest technology prize in the world
Novartis Prize for Basic Immunology,Harald von Boehmer,2016-01-01T00:00:00Z,male,prize for immunology research
Richard Lounsbery Award,Martin Gellert,1985-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,Tomoko Ohta,2015-01-01T00:00:00Z,female,$null$
Otto Naegeli Prize,Silvia Arber,2014-01-01T00:00:00Z,female,$null$
Richard Lounsbery Award,Marc Kirschner,1991-01-01T00:00:00Z,male,$null$
Novartis Medal and Prize,César Milstein,1977-01-01T00:00:00Z,male,award of the Biochemical Society
Richard Lounsbery Award,François Morel,1980-01-01T00:00:00Z,male,$null$
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Eric Lander,1997-01-01T00:00:00Z,male,oncology award
Viktor Hamburger Outstanding Educator Prize,Eugenie Scott,2007-01-01T00:00:00Z,female,award
Viktor Hamburger Outstanding Educator Prize,Maxine Singer,2010-01-01T00:00:00Z,female,award
Richard Lounsbery Award,James Rothman,1997-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,Daniel H. Janzen,1984-01-01T00:00:00Z,male,$null$
Bengt Winblad Lifetime Achievement Award in Alzheimer’s Disease Research,Daniel Carleton Gajdusek,1992-01-01T00:00:00Z,male,medical research award
Richard Lounsbery Award,Cornelia Bargmann,2009-01-01T00:00:00Z,female,$null$
Finsen Medal,Winslow Russell Briggs,2000-01-01T00:00:00Z,male,photobiology award
HLHL Science and Technology Achievement Award,Yigong Shi,2016-01-01T00:00:00Z,male,$null$
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Peter K. Vogt,1987-01-01T00:00:00Z,male,oncology award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Tom Maniatis,2001-01-01T00:00:00Z,male,oncology award
American Association of Immunologists Lifetime Achievement Award,Philippa Marrack,2003-01-01T00:00:00Z,female,Award
Finsen Medal,Alexander Hollaender,1968-01-01T00:00:00Z,male,photobiology award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Matthew P. Scott,2013-01-01T00:00:00Z,male,oncology award
Richard Lounsbery Award,Miroslav Radman,2000-01-01T00:00:00Z,male,$null$
Finsen Medal,Albert Kelner,1964-01-01T00:00:00Z,male,photobiology award
J. Allyn Taylor International Prize in Medicine,Anthony Pawson,2000-01-01T00:00:00Z,male,awarded by the Robarts Research Institute to an individual or individuals who have made significant contributions to a field of basic or clinical research in one of the Institute's principal areas of research
Josep Trueta Medal,Montserrat Vendrell,2019-01-01T00:00:00Z,female,$null$
Max Planck Research Award,Andreas Engel,1991-01-01T00:00:00Z,male,science award of the Max Planck Society and the Alexander von Humboldt Foundation
Finsen Medal,Daniel I. Arnon,1988-01-01T00:00:00Z,male,photobiology award
The Louis and Artur Lucian Award in Cardiovascular Diseases,Judah Folkman,1992-01-01T00:00:00Z,male,prize for medicine
Harvey Prize,Elizabeth Blackburn,1999-01-01T00:00:00Z,female,award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Ronald M. Evans,1992-01-01T00:00:00Z,male,oncology award
Rothschild prize,Hans Lindner,1982-01-01T00:00:00Z,male,$null$
DeLano Award for Computational Biosciences,Michael Levitt,2014-01-01T00:00:00Z,male,$null$
Novartis Medal and Prize,John Gurdon,1979-01-01T00:00:00Z,male,award of the Biochemical Society
Novartis Medal and Prize,Philip Cohen,1992-01-01T00:00:00Z,male,award of the Biochemical Society
Otto Naegeli Prize,Walter J. Gehring,1982-01-01T00:00:00Z,male,$null$
Mildred Cohn Award in Biological Chemistry,Wei Yang,2017-01-01T00:00:00Z,female,science award
Pew Fellowship in Marine Conservation,Juan Carlos Castilla Zenobi,1996-01-01T00:00:00Z,male,$null$
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Joan A. Steitz,2011-01-01T00:00:00Z,female,oncology award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Elizabeth Blackburn,2003-01-01T00:00:00Z,female,oncology award
Richard Lounsbery Award,Günter Blobel,1983-01-01T00:00:00Z,male,$null$
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cardiovascular Research,Eric N. Olson,1999-01-01T00:00:00Z,male,cardiology award
Novartis Medal and Prize,Adrian Peter Bird,2007-01-01T00:00:00Z,male,award of the Biochemical Society
DeLano Award for Computational Biosciences,Vijay Pande,2015-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Maxime Schwartz,1984-01-01T00:00:00Z,male,$null$
J. Allyn Taylor International Prize in Medicine,Judah Folkman,1999-01-01T00:00:00Z,male,awarded by the Robarts Research Institute to an individual or individuals who have made significant contributions to a field of basic or clinical research in one of the Institute's principal areas of research
Richard Lounsbery Award,Philippe Ascher,1992-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,Richard Lewontin,2015-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Elliot Meyerowitz,1999-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Joseph L. Goldstein,1979-01-01T00:00:00Z,male,$null$
Richard Lounsbery Award,Carol Greider,2003-01-01T00:00:00Z,female,$null$
Max Planck Research Award,Günter Blobel,1992-01-01T00:00:00Z,male,science award of the Max Planck Society and the Alexander von Humboldt Foundation
Max Planck Research Award,Ralph Steinman,1998-01-01T00:00:00Z,male,science award of the Max Planck Society and the Alexander von Humboldt Foundation
Gruber Prize in Neuroscience,Ann Graybiel,2018-01-01T00:00:00Z,female,award
Guggenheim Fellowship,Ralph Erskine Cleland,1927-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Guggenheim Fellowship,Francis Harper,1950-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Gairdner Foundation International Award,Gilbert Ashwell,1982-01-01T00:00:00Z,male,award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Anthony R. Hunter,2006-01-01T00:00:00Z,male,oncology award
Paul Ehrlich and Ludwig Darmstaedter Prize,Ruth Sonntag Nussenzweig,1985-01-01T00:00:00Z,female,award
Robert Koch Prize,Shinya Yamanaka,2008-01-01T00:00:00Z,male,award
Shanti Swarup Bhatnagar Prize for Science and Technology,Ramesh Venkata Sonti,2004-01-01T00:00:00Z,male,Indian research award
J. Allyn Taylor International Prize in Medicine,Irving Weissman,2003-01-01T00:00:00Z,male,awarded by the Robarts Research Institute to an individual or individuals who have made significant contributions to a field of basic or clinical research in one of the Institute's principal areas of research
Guggenheim Fellowship,Eduardo de Robertis,1947-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
J. Allyn Taylor International Prize in Medicine,Anthony R. Hunter,2000-01-01T00:00:00Z,male,awarded by the Robarts Research Institute to an individual or individuals who have made significant contributions to a field of basic or clinical research in one of the Institute's principal areas of research
Guggenheim Fellowship,Eduardo de Robertis,1946-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Robert Koch Prize,Jonas Salk,1962-01-01T00:00:00Z,male,award
"Alfred P. Sloan, Jr. Prize",Robert G. Roeder,1999-01-01T00:00:00Z,male,oncology award
Albert Lasker Award for Basic Medical Research,James D. Watson,1960-01-01T00:00:00Z,male,American science award
Novartis Medal and Prize,David Chilton Phillips,1970-01-01T00:00:00Z,male,award of the Biochemical Society
"Alfred P. Sloan, Jr. Prize",Raymond L. Erikson,1983-01-01T00:00:00Z,male,oncology award
Gairdner Foundation International Award,Robert G. Roeder,2000-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Stanley Falkow,1981-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Shimon Sakaguchi,2020-01-01T00:00:00Z,male,award
Albert Lasker Award for Basic Medical Research,Shinya Yamanaka,2009-01-01T00:00:00Z,male,American science award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Inder Verma,2010-01-01T00:00:00Z,male,oncology award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cancer Research,Irving Weissman,1988-01-01T00:00:00Z,male,oncology award
Japan Prize,Masatoshi Takeichi,2005-01-01T00:00:00Z,male,Japanese science award
Harvey Prize,Bert Sakmann,1991-01-01T00:00:00Z,male,award
Guggenheim Fellowship,R. John Collier,1973-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
"Alfred P. Sloan, Jr. Prize",Bob Waterston,2002-01-01T00:00:00Z,male,oncology award
Shanti Swarup Bhatnagar Prize for Science and Technology,Samir K. Brahmachari,1990-01-01T00:00:00Z,male,Indian research award
"Alfred P. Sloan, Jr. Prize",Ronald M. Evans,2003-01-01T00:00:00Z,male,oncology award
Albert Lasker Award for Basic Medical Research,Bertil Hille,1999-01-01T00:00:00Z,male,American science award
American Association of Immunologists Lifetime Achievement Award,Susan L. Swain,2010-01-01T00:00:00Z,female,Award
The Louis and Artur Lucian Award in Cardiovascular Diseases,Maya Simionescu,1978-01-01T00:00:00Z,female,prize for medicine
Shanti Swarup Bhatnagar Prize for Science and Technology,Kalappa Muniyappa,1995-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Amar Nath Bhaduri,1979-01-01T00:00:00Z,male,Indian research award
Gairdner Foundation International Award,Philippe Horvath,2016-01-01T00:00:00Z,male,award
Robert J. and Claire Pasarow Foundation Award for Distinguished Contributions to Cardiovascular Research,Andrew Marks,2011-01-01T00:00:00Z,male,cardiology award
Novartis Medal and Prize,Ron Laskey,1997-01-01T00:00:00Z,male,award of the Biochemical Society
Novartis Medal and Prize,Tom Blundell,1987-01-01T00:00:00Z,male,award of the Biochemical Society
Novartis Medal and Prize,Alan Hall,2005-01-01T00:00:00Z,male,award of the Biochemical Society
Novartis Medal and Prize,Kiyoshi Nagai,2000-01-01T00:00:00Z,male,award of the Biochemical Society
Guggenheim Fellowship,Mary Stuart MacDougall,1931-01-01T00:00:00Z,female,"grant in the arts, awarded annually"
Gruber Prize in Neuroscience,Robert Wurtz,2010-01-01T00:00:00Z,male,award
Gruber Prize in Neuroscience,Masakazu Konishi,2005-01-01T00:00:00Z,male,award
Gruber Prize in Neuroscience,Michael E. Greenberg,2015-01-01T00:00:00Z,male,award
Robert Koch Prize,René Dubos,1960-01-01T00:00:00Z,male,award
Albert Lasker Award for Basic Medical Research,René Dubos,1948-01-01T00:00:00Z,male,American science award
Guggenheim Fellowship,Deborah M. Gordon,2001-01-01T00:00:00Z,female,"grant in the arts, awarded annually"
Rosenstiel Award,Christiane Nüsslein-Volhard,1989-01-01T00:00:00Z,female,award in medical research from Brandeis University
Guggenheim Fellowship,Richard Goldschmidt,1951-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Albert Lasker Award for Basic Medical Research,John Gurdon,2009-01-01T00:00:00Z,male,American science award
Novartis Prize for Basic Immunology,Philippa Marrack,2016-01-01T00:00:00Z,female,prize for immunology research
Rosenstiel Award,Susan Lindquist,2016-01-01T00:00:00Z,female,award in medical research from Brandeis University
Rosenstiel Award,Joan A. Steitz,2001-01-01T00:00:00Z,female,award in medical research from Brandeis University
Rosenstiel Award,Howard Green,1979-01-01T00:00:00Z,male,award in medical research from Brandeis University
Rosenstiel Award,Robert G. Roeder,1994-01-01T00:00:00Z,male,award in medical research from Brandeis University
Ernst-Jung-Preis für Medizin,Peter Walter,2012-01-01T00:00:00Z,male,$null$
Ernst-Jung-Preis für Medizin,Hartmut Wekerle,1982-01-01T00:00:00Z,male,$null$
Ernst-Jung-Preis für Medizin,Patrick Cramer,2009-01-01T00:00:00Z,male,$null$
Paul Ehrlich and Ludwig Darmstaedter Prize,Barry Marshall,1997-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Andrew Fire,2006-01-01T00:00:00Z,male,award
Albert Lasker Award for Basic Medical Research,Michael Berridge,1989-01-01T00:00:00Z,male,American science award
Rosenstiel Award,James Rothman,1993-01-01T00:00:00Z,male,award in medical research from Brandeis University
Albert Lasker Award for Basic Medical Research,Leroy Hood,1987-01-01T00:00:00Z,male,American science award
Albert Lasker Award for Basic Medical Research,Emil R. Unanue,1995-01-01T00:00:00Z,male,American science award
Guggenheim Fellowship,Daniel I. Arnon,1964-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Guggenheim Fellowship,Daniel I. Arnon,1946-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Paul Ehrlich and Ludwig Darmstaedter Prize,Fritiof S. Sjöstrand,1971-01-01T00:00:00Z,male,award
Robert Koch Prize,Hans-Georg Rammensee,1993-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Richard Lerner,2003-01-01T00:00:00Z,male,award
Rosenstiel Award,Michael Grunstein,2010-01-01T00:00:00Z,male,award in medical research from Brandeis University
Széchenyi Prize,László Gallé,2007-01-01T00:00:00Z,male,award in Hungary
Rosenstiel Award,Lee Hartwell,1992-01-01T00:00:00Z,male,award in medical research from Brandeis University
Shanti Swarup Bhatnagar Prize for Science and Technology,Suman Kumar Dhar,2012-01-01T00:00:00Z,male,Indian research award
Robert Koch Prize,Heinz Ludwig Sänger,1978-01-01T00:00:00Z,male,award
Széchenyi Prize,József Frank,1993-01-01T00:00:00Z,male,award in Hungary
Shanti Swarup Bhatnagar Prize for Science and Technology,Shyam Swarup Agarwal,1986-01-01T00:00:00Z,male,Indian research award
Rosenstiel Award,John Gurdon,2008-01-01T00:00:00Z,male,award in medical research from Brandeis University
Paul Ehrlich and Ludwig Darmstaedter Prize,Boris Ephrussi,1976-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Russell Doolittle,1989-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Jacques Oudin,1961-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Keith R. Porter,1971-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Hans-Georg Rammensee,1996-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Philippa Marrack,1993-01-01T00:00:00Z,female,award
Shanti Swarup Bhatnagar Prize for Science and Technology,Subi Jacob George,2020-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,M. Vijayan,1985-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Srinivas Kishanrao Saidapur,1991-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Avadhesha Surolia,1987-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Gopal Kundu,2004-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Bhaskar Saha,2009-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Sanjeev Galande,2010-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Subhadeep Chatterjee,2020-01-01T00:00:00Z,male,Indian research award
Harnack medal,Carl Correns,1932-01-01T00:00:00Z,male,award
Guggenheim Fellowship,Fabián Jaksic,1990-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Massry Prize,Jeffrey I. Gordon,2017-01-01T00:00:00Z,male,$null$
Guggenheim Fellowship,Mário Paulo Autuori,1943-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Guggenheim Fellowship,Walter M Farina,2009-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Massry Prize,Rob Knight,2017-01-01T00:00:00Z,male,$null$
Paul Ehrlich and Ludwig Darmstaedter Prize,R. John Collier,1990-01-01T00:00:00Z,male,award
Ernst-Jung-Preis für Medizin,Jon van Rood,1989-01-01T00:00:00Z,male,$null$
Guggenheim Fellowship,Leonard Muscatine,1970-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Ernst-Jung-Preis für Medizin,Judah Folkman,1997-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,Carl Woese,2003-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,John Maynard Smith,1999-01-01T00:00:00Z,male,$null$
Villum Kann Rasmussen Annual Award,Birger Lindberg Møller,2007-01-01T00:00:00Z,male,Danish research prize for techincal research
Paul Ehrlich and Ludwig Darmstaedter Prize,John Gurdon,1977-01-01T00:00:00Z,male,award
Shanti Swarup Bhatnagar Prize for Science and Technology,Suvendra Nath Bhattacharyya,2016-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Kuppamuthu Dharmalingam,1992-01-01T00:00:00Z,male,Indian research award
Villum Kann Rasmussen Annual Award,Carsten Rahbek,2013-01-01T00:00:00Z,male,Danish research prize for techincal research
Shanti Swarup Bhatnagar Prize for Science and Technology,Amitabh Joshi,2009-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Narayanaswamy Srinivasan,2007-01-01T00:00:00Z,male,Indian research award
Guggenheim Fellowship,James F. Kidwell,1959-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Otto Naegeli Prize,Ueli Schibler,1996-01-01T00:00:00Z,male,$null$
Shanti Swarup Bhatnagar Prize for Science and Technology,Rajesh Sudhir Gokhale,2006-01-01T00:00:00Z,male,Indian research award
Robert Koch Prize,William M. Hutchison,1970-01-01T00:00:00Z,male,award
Robert Koch Prize,Michel C. Nussenzweig,2016-01-01T00:00:00Z,male,award
Shanti Swarup Bhatnagar Prize for Science and Technology,Satyajit Mayor,2003-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Raghavendra Gadagkar,1993-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,K. VijayRaghavan,1998-01-01T00:00:00Z,male,Indian research award
Robert Koch Prize,Jeffrey I. Gordon,2013-01-01T00:00:00Z,male,award
Guggenheim Fellowship,Marvalee Wake,1988-01-01T00:00:00Z,female,"grant in the arts, awarded annually"
Shanti Swarup Bhatnagar Prize for Science and Technology,Raghavan Varadarajan,2002-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Ghanshyam Swarup,1996-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Subhash Chandra Lakhotia,1989-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Satish Chandra Maheshwari,1972-01-01T00:00:00Z,male,Indian research award
Ernst-Jung-Preis für Medizin,Ivan Đikić,2013-01-01T00:00:00Z,male,$null$
Bavarian Maximilian Order for Science and Art,Johannes Peter Müller,1853-01-01T00:00:00Z,male,civil Bavarian order
Harvey Prize,Eric Lander,2012-01-01T00:00:00Z,male,award
Balzan Prize,Ilkka Hanski,2000-01-01T00:00:00Z,male,"annual monetary prizes to people or organizations who have made outstanding achievements in the fields of humanities, natural sciences, culture"
Guggenheim Fellowship,Daniel S. Rokhsar,2000-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Bavarian Maximilian Order for Science and Art,Christiane Nüsslein-Volhard,2014-01-01T00:00:00Z,female,civil Bavarian order
Balzan Prize,Jean Piaget,1979-01-01T00:00:00Z,male,"annual monetary prizes to people or organizations who have made outstanding achievements in the fields of humanities, natural sciences, culture"
Guggenheim Fellowship,James D. Watson,1983-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Bavarian Maximilian Order for Science and Art,Georges J. F. Köhler,1986-01-01T00:00:00Z,male,civil Bavarian order
Paul Ehrlich and Ludwig Darmstaedter Prize,Harald von Boehmer,1993-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Helmut Ruska,1970-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Peter Walter,2012-01-01T00:00:00Z,male,award
Guggenheim Fellowship,Lynn Riddiford,1979-01-01T00:00:00Z,female,"grant in the arts, awarded annually"
Alexander Agassiz Medal,Sallie W. Chisholm,2010-01-01T00:00:00Z,female,science award
Balzan Prize,Pascale Cossart,2013-01-01T00:00:00Z,female,"annual monetary prizes to people or organizations who have made outstanding achievements in the fields of humanities, natural sciences, culture"
Balzan Prize,Luigi Luca Cavalli-Sforza,1999-01-01T00:00:00Z,male,"annual monetary prizes to people or organizations who have made outstanding achievements in the fields of humanities, natural sciences, culture"
The Shaw Prize in Life Science and Medicine,Peter Walter,2014-01-01T00:00:00Z,male,$null$
The Shaw Prize in Life Science and Medicine,Adrian Peter Bird,2016-01-01T00:00:00Z,male,$null$
The Shaw Prize in Life Science and Medicine,Herbert Boyer,2004-01-01T00:00:00Z,male,$null$
Balzan Prize,Russell Lande,2011-01-01T00:00:00Z,male,"annual monetary prizes to people or organizations who have made outstanding achievements in the fields of humanities, natural sciences, culture"
Paul Ehrlich and Ludwig Darmstaedter Prize,Mary-Claire King,2013-01-01T00:00:00Z,female,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Robin Warren,1997-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Torbjörn Caspersson,1977-01-01T00:00:00Z,male,award
Keio Medical Science Prize,Elizabeth Blackburn,1999-01-01T00:00:00Z,female,award
Keio Medical Science Prize,Jeffrey I. Gordon,2015-01-01T00:00:00Z,male,award
Otto Warburg Medal,Rudolf K. Thauer,1984-01-01T00:00:00Z,male,$null$
Keio Medical Science Prize,Jules Hoffmann,2010-01-01T00:00:00Z,male,award
Academy Award of the Hungarian Academy of Sciences,István Andrássy,1987-01-01T00:00:00Z,male,award
Dr H.P. Heineken Prize for Biochemistry and Biophysics,Christian de Duve,1973-01-01T00:00:00Z,male,$null$
NAS Award in Molecular Biology,H. Robert Horvitz,1988-01-01T00:00:00Z,male,award
MacArthur Fellows Program,Jared Diamond,1985-07-01T00:00:00Z,male,prizes awarded annually by the John D. and Catherine T. MacArthur Foundation
International Prize for Biology,Edward O. Wilson,1993-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
NAS Award in Molecular Biology,Michael Levine,1996-01-01T00:00:00Z,male,award
Academy Award of the Hungarian Academy of Sciences,Ádám Miklósi,2015-01-01T00:00:00Z,male,award
MacArthur Fellows Program,Alan Walker,1988-01-01T00:00:00Z,male,prizes awarded annually by the John D. and Catherine T. MacArthur Foundation
Keio Medical Science Prize,Anthony R. Hunter,2001-01-01T00:00:00Z,male,award
NAS Award in Molecular Biology,James C. Wang,1983-01-01T00:00:00Z,male,award
Otto Warburg Medal,Christiane Nüsslein-Volhard,1992-01-01T00:00:00Z,female,$null$
Ernst Hellmut Vits Award,Bernhard Rensch,1974-01-01T00:00:00Z,male,award
NAS Award in Molecular Biology,Norton Zinder,1966-01-01T00:00:00Z,male,award
Keio Medical Science Prize,Ōsumi Yoshinori,2015-01-01T00:00:00Z,male,award
MacArthur Fellows Program,Ruth DeFries,2007-01-01T00:00:00Z,female,prizes awarded annually by the John D. and Catherine T. MacArthur Foundation
Dr H.P. Heineken Prize for Biochemistry and Biophysics,Jack Szostak,2008-01-01T00:00:00Z,male,$null$
NAS Award in Molecular Biology,Geoffrey M. Cooper,1984-01-01T00:00:00Z,male,award
Philip Morris Research Prize,Ralf Baumeister,2001-01-01T00:00:00Z,male,$null$
Philip Morris Research Prize,Christophe Boesch,2000-01-01T00:00:00Z,male,$null$
Philip Morris Research Prize,Patrick Cramer,2007-01-01T00:00:00Z,male,$null$
Academy Award of the Hungarian Academy of Sciences,Iván Bócsa,1977-01-01T00:00:00Z,male,award
Otto Bayer Prize,Jozef Schell,1985-01-01T00:00:00Z,male,award
International Prize for Biology,Elliot Meyerowitz,1997-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
MacArthur Fellows Program,Sara Seager,2013-01-01T00:00:00Z,female,prizes awarded annually by the John D. and Catherine T. MacArthur Foundation
Otto Warburg Medal,Tom Rapoport,2004-01-01T00:00:00Z,male,$null$
MacArthur Fellows Program,Carl Woese,1984-03-01T00:00:00Z,male,prizes awarded annually by the John D. and Catherine T. MacArthur Foundation
Goethe Plaque of the City of Frankfurt,Christiane Nüsslein-Volhard,1996-01-01T00:00:00Z,female,culture prize
International Prize for Biology,Joseph Altman,2012-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
